epoch,pl_e,pl_n,pl_u,seconds from start,minutes from start
1203968412,6.376946748,6.191561485,9.672078365,132,2.20
1203968413,6.358227136,6.172580605,9.692763364,133,2.22
1203968414,6.339662746,6.153211073,9.663485054,134,2.23
1203968415,6.321080588,6.133063498,9.633947826,135,2.25
1203968416,6.302807122,6.114127799,9.604856362,136,2.27
1203968417,6.284039303,6.094904074,9.578047663,137,2.28
1203968418,6.264708856,6.075968148,9.548513901,138,2.30
1203968419,6.249756389,6.058600602,9.525180209,139,2.32
1203968420,6.232630812,6.040235485,9.499086744,140,2.33
1203968421,6.21577077,6.022104042,9.473230187,141,2.35
1203968422,6.199675722,6.004636691,9.449918768,142,2.37
1203968423,6.182944325,5.988024026,9.42429836,143,2.38
1203968424,6.16518764,5.971436546,9.398593354,144,2.40
1203968425,6.148927766,5.955274429,9.373685684,145,2.42
1203968426,6.132779208,5.939283031,9.348852742,146,2.43
1203968427,6.117132317,5.925078912,9.325296009,147,2.45
1203968428,6.101611502,5.910946514,9.301670085,148,2.47
1203968429,6.084551629,5.894762549,9.277638695,149,2.48
1203968430,6.067864135,5.877803047,9.250675694,150,2.50
1203968431,6.050201982,5.861056361,9.223885507,151,2.52
1203968432,6.03291374,5.84563635,9.19789738,152,2.53
1203968433,6.017606609,5.830116345,9.174217295,153,2.55
1203968434,6.002397573,5.814847107,9.150506966,154,2.57
1203968435,5.985396401,5.798696363,9.12467816,155,2.58
1203968436,5.968677487,5.782675277,9.099150953,156,2.60
1203968437,5.952133232,5.766705583,9.073823165,157,2.62
1203968438,5.935746248,5.750766528,9.048640463,158,2.63
1203968439,5.920646745,5.736500214,9.024391335,159,2.65
1203968440,5.905533084,5.721179446,9.000199338,160,2.67
1203968441,5.890582338,5.70606693,8.976215197,161,2.68
1203968442,5.875763009,5.691045936,8.952408212,162,2.70
1203968443,5.860101054,5.675887043,8.928540396,163,2.72
1203968444,5.845538081,5.660937447,8.905075059,164,2.73
1203968445,5.831095811,5.645999395,8.881768974,165,2.75
1203968446,5.816831523,5.632304978,8.858889075,166,2.77
1203968447,5.802680771,5.618294678,8.836165471,167,2.78
1203968448,5.788642575,5.604377016,8.813607879,168,2.80
1203968449,5.774677246,5.590547684,8.791215606,169,2.82
1203968450,5.760860626,5.576816714,8.768995198,170,2.83
1203968451,5.747500721,5.563261431,8.747448594,171,2.85
1203968452,5.7341985,5.549677183,8.726340402,172,2.87
1203968453,5.720940325,5.536165629,8.70545849,173,2.88
1203968454,5.707631472,5.521953772,8.684378504,174,2.90
1203968455,5.694661003,5.507946073,8.663551323,175,2.92
1203968456,5.681658731,5.494064949,8.642952874,176,2.93
1203968457,5.668793197,5.480957811,8.622842524,177,2.95
1203968458,5.656036984,5.467962098,8.602884272,178,2.97
1203968459,5.644637549,5.455666689,8.584592596,179,2.98
1203968460,5.632655875,5.443180048,8.567128317,180,3.00
1203968461,5.620728906,5.430752247,8.549821334,181,3.02
1203968462,5.608881564,5.418425691,8.53255121,182,3.03
1203968463,5.597070796,5.406180713,8.515266714,183,3.05
1203968464,5.585293427,5.394009746,8.497943924,184,3.07
1203968465,5.573397369,5.381193191,8.480223753,185,3.08
1203968466,5.561569638,5.368552318,8.462481752,186,3.10
1203968467,5.550077124,5.356736203,8.506101923,187,3.12
1203968468,5.538360517,5.344223465,8.488222323,188,3.13
1203968469,5.526776233,5.332379658,8.470478383,189,3.15
1203968470,5.515124488,5.320031095,8.452703379,190,3.17
1203968471,5.503637473,5.308320556,8.436413952,191,3.18
1203968472,5.49219549,5.296671744,8.360003013,192,3.20
1203968473,5.480800468,5.285087114,8.343784007,193,3.22
1203968474,5.469454189,5.273566989,8.327554299,194,3.23
1203968475,5.458159803,5.262112258,8.311326906,195,3.25
1203968476,5.44691778,5.250723876,8.295118219,196,3.27
1203968477,5.435730971,5.239402276,8.278934342,197,3.28
1203968478,5.424601236,5.228148433,8.262784101,198,3.30
1203968479,5.413530058,5.216962534,8.246678022,199,3.32
1203968480,5.402518826,5.205844616,8.23062257,200,3.33
1203968481,5.391040663,5.302049532,8.212243919,201,3.35
1203968482,5.380324336,5.290203404,8.195081025,202,3.37
1203968483,5.363028191,5.278267379,8.1754313,203,3.38
1203968484,5.343389211,5.267760358,8.156284903,204,3.40
1203968485,5.32650115,5.256789861,8.136062291,205,3.42
1203968486,5.315375086,5.179807881,8.119375414,206,3.43
1203968487,5.304595055,5.169886547,8.103417011,207,3.45
1203968488,5.293655624,5.159452465,8.086966657,208,3.47
1203968489,5.284110475,5.150581386,8.129511778,209,3.48
1203968490,5.274179143,5.141266141,8.11437137,210,3.50
1203968491,5.258138332,5.131689718,8.096747871,211,3.52
1203968492,5.243808955,5.122646564,8.082439962,212,3.53
1203968493,5.235601455,5.114137475,8.013062626,213,3.55
1203968494,5.226348715,5.105359858,7.999203242,214,3.57
1203968495,5.216809827,5.095603291,8.040549762,215,3.58
1203968496,5.201561819,5.085801038,8.022705132,216,3.60
1203968497,5.186358952,5.076373883,8.00661417,217,3.62
1203968498,5.168304911,5.066952677,7.989517237,218,3.63
1203968499,5.153405264,5.057024985,7.836911159,219,3.65
1203968500,5.135724461,5.047270352,7.820061857,220,3.67
1203968501,5.118771437,5.037929297,7.804564627,221,3.68
1203968502,5.105128255,5.028706665,7.789913879,222,3.70
1203968503,5.091394154,5.018976446,7.774004011,223,3.72
1203968504,5.077258974,5.007162496,7.757984605,224,3.73
1203968505,5.063797187,4.998137329,7.742330563,225,3.75
1203968506,5.050473587,4.988784044,7.726659563,226,3.77
1203968507,5.042091887,4.979621354,7.712981182,227,3.78
1203968508,5.033507639,4.970579699,7.699070252,228,3.80
1203968509,,,,229,3.82
1203968510,,,,230,3.83
1203968511,5.027865445,4.959407751,7.689909509,231,3.85
1203968512,5.019001307,4.948032713,7.678101712,232,3.87
1203968513,5.011948379,4.939770987,7.668022214,233,3.88
1203968514,5.004955512,4.931877389,7.658002,234,3.90
1203968515,4.998133185,4.925156886,7.648687934,235,3.92
1203968516,4.991371716,4.918008079,7.639002394,236,3.93
1203968517,4.985062707,4.910842223,7.63051578,237,3.95
1203968518,4.978367224,4.903826592,7.620619977,238,3.97
1203968519,4.970030491,4.895861896,7.608882486,239,3.98
1203968520,4.963506072,4.888784535,7.599022817,240,4.00
1203968521,4.955061023,4.880185524,7.585739105,241,4.02
1203968522,4.939460177,4.863698437,7.637549169,242,4.03
1203968523,4.93128865,4.855950161,7.624643981,243,4.05
1203968524,4.917621422,4.847589298,7.609976484,244,4.07
1203968525,4.910004278,4.840084715,7.597257477,245,4.08
1203968526,4.902051872,4.831876629,7.584297872,246,4.10
1203968527,4.894535896,4.823543491,7.572610259,247,4.12
1203968528,4.886646079,4.815355535,7.559572561,248,4.13
1203968529,4.878792126,4.807166346,7.546515235,249,4.15
1203968530,4.86611087,4.79871267,7.532403694,250,4.17
1203968531,4.853584154,4.79028463,7.518136895,251,4.18
1203968532,4.841105947,4.781866912,7.503591333,252,4.20
1203968533,4.835872636,4.781335333,7.425683878,253,4.22
1203968534,4.82368147,4.772952353,7.411336915,254,4.23
1203968535,4.816359569,4.764803297,7.398592479,255,4.25
1203968536,4.80890326,4.757829658,7.386144683,256,4.27
1203968537,4.801483452,4.750338256,7.373667292,257,4.28
